"";"k";"alpha";"delta";"burnin";"iter";"thin";"keep";"seed";"perplexity"
"1";2;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3504,17884078514
"2";3;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3165,11983641316
"3";4;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2974,96701120859
"4";5;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;2787,54400134033
"5";6;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2640,19000635922
"6";7;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2597,92705374475
"7";8;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2505,31961695419
"8";9;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2426,48698827511
"9";10;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2375,1254416055
